Bhojpuri Morisien,Kreol Morisien,English
bhuna channa khana mein swad lawe la,pois griye donn enn gou dan manze,roasted gram adds flavor to the food
channa protein se bharpur ba,pois ranpli ar proteinn,gram is rich in protein
matar,pois,pea
moong,pois ver,green gram
anda,dizef,egg
anda subah ke nashta mein khawala,dizef manz pou dejeuner,eggs are eaten for breakfast
anda ubal ke tayar kar da,bwi dizef pou li paret,boil the eggs to prepare them
anda se omelet sakela bane,kapav fer enn omelet avek dizef,you can make an omelette with eggs
sooji,suji,grounded wheat cooked in ghee milk and sugar
sooji halwa ek popular sweet ba,suji halwa enn gato popiler,sooji halwa is a popular sweet dish
sooji ko ghi aur chinni se bhuna jaala,fri suji avek ghi ek disik,the semolina is roasted with ghee and sugar
sooji bachchon ke lie soft khana ba,suji enn manze mou pou zanfan,sooji is a soft food for children
ghi,ghi,clarified butter
ghi roti par lagawa jaa,met ghi lor roti,spread ghee on the bread
ghi khana ke swad badhawe la,ghi donn plis gou dan manze,ghee enhances the taste of food
ghi suji halwa banawe mein upyog hola,ghi servi pou prepar gato suji,ghee is used in making semolina dessert
dahi,dahi,curd
dahi thanda rakha jaa fridge mein,gard dahi fre dan friz,keep the curd in the fridge to stay cool
dahi khane ke baad khawala jaa,dahi manz apre manze,curd is eaten after meals
dahi se lassi bhi sakela bane,kapav fer lasi avek dahi,lassi can also be made from curd
dudh,dile,milk
dudh bachchon ke lie zaruri ba,dile inportan pou zanfan,milk is essential for children
dudh subah shaam piyala jaala,dile bwar gramatin ek aswar,milk is drunk in the morning and evening
dudh se khir aur dood pithi banela,dile servi pou fer khir aur dood pithi,milk is used to make sweet dishes like rice pudding
namak,disel,salt
namak har khana mein upyog hola,disel servi dan tou manze,salt is used in every dish
namak khana ke swad badhawe la,disel ogmant gou dan manze,salt increases the taste of food
namak bina khana feeka lagela,san disel manze paret san gou,food tastes bland without salt
paneer,paneer,homemade cheese
paneer ghar mein dood se tayar hola,paneer fer avek dile dans lakaz,homemade cheese is made from milk at home
paneer khana mein protein dewe la,paneer donn proteinn dan manze,paneer gives protein to the diet
paan,fey betel,betel leaf
paan khane ke baad khawala,fey betel manz apre manze,betel leaf is eaten after meals
paan meetha aur supari ke saath khawala,fey betel manz avek gato dou ek supari,the betel leaf is eaten with sweet and areca nut
paan muh ke swad badhawe la,fey betel donn gou dan labous,the betel leaf freshens the mouth
makkhan,diber,butter
makkhan roti par lagawa jaa,met diber lor roti,spread butter on the bread
makkhan garam roti ke saath bahut swaad lagela,diber ar roti so donn bon gou,butter tastes great with warm bread
makkhan dood se nikle la,diber sorti depi dile,butter is extracted from milk
malai,lakrem,cream
malai dood ke upar jam jaala,lakrem form lao dile,cream forms on the surface of milk
malai se mithai banela,lakrem servi pou fer gato,cream is used to make sweets
malai soft aur swadisht ba,lakrem ress mou ek ena bon gou,the cream is soft and delicious
maans,laviann,meat
taaza maans bazar se kharid ke la aaili,mon aste laviann fre depi bazar mon amene,i bought fresh meat from the market
maans ko masala mein pakela,laviann kwit dans masala,the meat is marinated in spices before cooking
maans ke khushbu sab ghar mein fail gal,loder laviann la finn fane dans lakaz,the aroma of meat filled the whole house
murabba,konfiti,jam
murabba aam se banela,konfiti fer avek mang,jam is made from mangoes
murabba meetha aur laal rang ke ba,konfiti ress dou ek kouler rouz,the jam is sweet and red in colour
raab,siro,molasses
raab ganna se banela,siro fer avek kann,molasses is made from sugarcane
raab ko dood mein milake piyal jaala,siro melanz dan dile pou bwar,molasses is mixed in milk to drink
loung,girof,cloves
loung chhoti par khushbu daar ba,girof tipti me ena bon loder,cloves are small but very aromatic
loung chai mein dal ke ubal jala,girof met dan dite lerla bwi,cloves are boiled in tea for flavour
haldi,safron,turmeric
haldi har rasoi mein upyog hola,safron servi dan sak lakwizinn,turmeric is used in every kitchen
haldi dood se sardi theek ho jaala,dile ar saffron geri grip,drinking milk with turmeric cures cold
adrak,zerzam,ginger
adrak chai mein ubalwa jaat ba,zerzam bwi dan dite,ginger is boiled in tea
adrak sabzi mein swad lawe la,zerzam donn gou dan legim,ginger adds flavour to vegetables
halwa,halwa,sweet pudding
halwa suji aur ghi se banawat ba,halwa fer avek suji ek ghi,the pudding is made with semolina and ghee
halwa thanda hone pe aur swadisht lagela,kan halwa fre li vinn pli bon,the pudding tastes better when cool
halwa sabke pasandida meetha ba,halwa enn gato ki tou dimoun kontan,halwa is everyones favourite dessert
kabaab,kebab,kebab
kabaab ko angithi par sekhat ba,kebab pe griye lor dife,kebabs are roasted on the fire
kabaab maans ke tukda se banela,kebab fer avek bout laviann,the kebab is made from pieces of meat
kabaab ke khushbu door tak jaat ba,loder kebab la pe ale ziska loin,the aroma of kebabs spreads far away
kophta,kofta,kofta meatballs
kofta sabzi mein ubal ke pakawat jaala,kofta bwi dan legim pou cuit,the koftas are boiled and cooked in gravy
kofta maans se banela,kofta fer avek laviann,koftas are made from meat
kofta chawal ke saath servi hola,servi kofta ansam ar diri,koftas are served with rice
methi,methi,fenugreek
methi ke patta sabzi mein dal ke banela,fey methi met dan legim pou kwiy,fenugreek leaves are added to vegetables
methi kadwa swad ke hola par sehat ke lie changa ba,methi ena enn gou amer me bon pou lasante,fenugreek tastes bitter but is healthy
methi ke dana bhi masala ke roop mein upyog hola,lagrin methi osi servi kouma masala,fenugreek seeds are also used as a spice
biryani,biryani,biryani
biryani masala aur maans se tayar hola,biryani prepar avek masala ek laviann,biryani is prepared with meat and spices
biryani ka khushbu sab ghar mein fail gal,loder biryani finn fane entier lakaz,the aroma of biryani spread through the house
biryani khane mein sabke pasandida hola,tou dimoun kontan manz biryani,biryani is everyones favourite food
sarbat,siro,sweetened water beverage
sarbat gulab ke flavour mein banela,siro fer avek gou roz,sarbat is made with rose flavour
sarbat mehmaan ke lie servi kara,servi siro pou bann invite,sarbat is served to guests
madh,dimiel,honey
madh ko chai mein dal ke piyal jaala,dimiel met dan dite lerla bwar,honey is added to tea before drinking
madh gala aur khansi ke lie changa ba,dimiel bon pou lagorz ek touse,honey is good for throat and cough
rot,gato sakre,sweet prepared for offerings
rot mandir mein bhog ke roop mein diyal jaala,gato sakre donn kouma lofr dan legliz,rot is offered in temples as a religious offering
rot meetha aur naram ba,gato sakre mou ek dou,the rot is sweet and soft
bessan,lafarin gato,gram flour
bessan se pakora banawat ba,lafarin gato servi pou fer gato,gram flour is used to make fritters
bessan se halwa bhi banela,lafarine gato servi osi pou fer halwa,you can also make halwa with gram flour
bhaji,bred,green vegetables
bazar se taaza bhaji leke aawa,amen bred fre depi bazar,buy fresh vegetables from the market
bhaji ke saaf karke kat le,netway bredr apres koupe li,clean and cut the vegetables
bhaji har din khana mein rakhawala,brede manze dan sak repa toulezour,green vegetables are included in meals every day
tarkaari,cari,curry
tarkaari roti ke saath khawala,cari manz ansam ar dipin,curry is eaten with bread
tarkaari masala se tayar hola,cari prepar avek masala,curry is prepared with spices
ham kafe bina din nai saki la shuru kare,mo pa kapav koumanse mo zour san kafe,i cannot start my day without coffee
macchi,pwason,fish
bazar se taaza maachli kharid ke la aaili,mon aste pwason fre depi bazar mon amene,i bought fresh fish from the market
macchi ke takaari khana mein swad lawe la,cari pwason amen gou dan manze,fish curry adds great taste to food
macchi ke dawai roop mein bhi khawala,pwason en form medsin osi manz,fish is also eaten for health benefits
murgi,poul,hen chicken
murgi ke jhol bahut swadisht hola,lasos poul bien goute,chicken curry is very tasty
murgi ke masala mein marine kar ke pakela,marine poule dan masala lerla kwiy,the chicken is marinated in spices before cooking
murgi sab log ke pasandida khana ba,tou dimoun kontan manz poul,chicken is a favourite dish for everyone
anchar,zasar,pickles
anchar khana ke saath khawala,zasar manz ansam ar manze,pickles are eaten with meals
anchar sookha aam aur masala se banela,zasar fer avek mang sek ek masala,pickles are made with dried mangoes and spices
chutnee,satini,chutney
chutnee dhaniya aur mirch se banela,satini fer avek cotomili ek piman,chutney is made with coriander and chili
chutnee har khana ke saath mil jaala,satini gagnavek sak manze,chutney goes with every meal
kuncha,zasar,crushed vegetables and pickled
kuncha bhojan ke saath khawala,zasar manz ansam ar manze,pickled vegetables are eaten with meals
kuncha masala aur tel se tayar hola,zasar prepar avek masala ek delwil,the pickled vegetables are prepared with spices and oil
litti,liti,thick round flatbread still made in mauritius
litti ko angithi par sekhat ba,liti griye lor dife,litti is roasted on an open fire
litti ke andar sattu bharal rahela,dan liti ena lafarine ranpli,the inside of litti is filled with roasted gram flour
roti garam ba,roti la so,the bread is hot
aaj konchi pakal ba,ki to in kwit azordi,what is there for food today
aaj paratha awri adowri ke takari pakal ba,azordi in kwit farata ek kari adowri,today i have cooked paratha and adowri curry
bas haye,samem,only that thats all
bhajiyo ba chutniwo ba,ena osi legim ver ek satini,and there is also bhaji green vegetables and chutney
ekar sange anchar wo ba,ena zasar ensam,together with this there are pickles too
sawaad khaatin,pou donn gou,for taste
dalpitha nay pakaile,to pan kwit dalpitha,havent you cooked dalpitha
bhaat ba,ena diri,i have cooked rice
ham karan sangei kafe pili,mon bwar kafe avek karan,i had coffee with karan
ham ke bhukh lagata,mo p gagn faim,i am hungry
ham khaat hai,mo pe manze,i am eating
konchi khaat hawe,ki to pe manze,what are you eating
ham ego banane khat hai,mo pe manze en banann,i am eating a banana
aaj bhaat pakal ba lalo taral ba daal awroo aaloo ke chutney ba,azordi in kwit diri ek lalo frir dal ek ena satini pomdeter,today we have rice ladys finger dal and potato chutney
bhaat pak gal,diri fini kwit,the rice is cooked
gato,gato,sweetmeat
mitha gato har parab ke banela,gato dou prepare dan sak fet,sweets are prepared during every festival
mitha gato ke joli rang awroo sawaad rahela,gato dou ena zoli kouler ek gou,the sweets have beautiful colours and taste
laykaa log mitha gato dekh ke khus ho jaawe lan sa,bann zanfan bien kontan kan zot trouv gato dou,children get happy when they see sweets
gulab jamun,gulab jamun,gulab jamun
gulab jamun dood awroo khoya se banela,gulab jamun fer avek dile ek mowa,gulab jamun is made from milk and milk solids
garam gulab jamun khay mein maja awela,manz gulab jamun fer gagn bon,eating warm gulab jamun is a delight
gulab jamun siro mein doube la,gulab jamun ress trempe dan siro,gulab jamun is soaked in syrup
barfi,barfi,barfi
barfi dood aur chini se banela,barfi fer avek dile ek disik,barfi is made from milk and sugar
barfi thandi aur meetha mithai ba,barfi enn gato dou ek fre,barfi is a cool sweet dessert
rasgoola,rasgoula,rasgoola
rasgoola naram rahela awroo siro se bharal rahela,rasgoula ress mou ek ranpli ar siro,rasgoola is soft and soaked in syrup
rasgoola khane ke baad dessert niyan diyal jaala,kan fini manz donn rasgoula kouma deser,rasgoola is served as dessert after meals
rasgoola ego mashoor bengali gato ha,rasgoula enn gato bengal bien renome,rasgoola is a famous bengali sweet
bhajiya,bhajiya,fried cakes with gram flour
jab paani barsela ta bhajiya khai ke maja dusar ha,kan lapli tombe lerla manz bhajiya enn lot plezir,eating bhajiya is a joy during rainy days
bhajiya sange chatniyo rahela,ansam ar bhajiya ansam ress satini,bhajiya is served with chutney
bhajiya besan awroo piyaaj se banela,bhajiya fer avek lafarin gato ek zoiyon,bhajiya is made with gram flour and onions
boondiya,boondiya,sweets boondi
boondiya chhota chhota gol gol rahela,boondiya res tipti tipti ron ron,boondiya are small round sweets
boondiya ego parsaadi ha,boondiya en manze sakre sa,boondiya is also given as religious offering
boondiya ke bhaanti ke rang awroo mehek awela,boondiya so lapat fer kouler ek bon loder,boondiya is colourful and aromatic
laddoo,ladou,laddoo
laddoo har saadi awroo parab mein banela,ladou prepare dan sak maryaz ek fet,laddoos are made at every wedding and festival
besan ke laddoo sabke manpasand ha,tou dimoun kontan ladou lafarin,gram flour laddoos are everyones favourite sweet
sewai,sev,vermicelli
sewai dood aur chini se pakela,sev kwi avek dile ek sik,vermicelli is cooked with milk and sugar
eid ke din meetha sewai banela,zour fet eid fer sev dile,sweet vermicelli is made on eid
sewai patra awroo mulaayam hola,sev fen ek mou,vermicelli is thin and soft
sutarphine,sutalfine,salt cake
sutarphine garam cha ke sange khaayke accha lagela,sutalfine gagn bon pou manz ar enn tas dite so,salt cake goes well with a cup of tea
sutarphine ke chhota chhota katal jala,koupe sutalfine an tipti tipti,salt cake is cut into small square pieces
sutarphine mein tani nimak ke sawad awela,dans sutalfine ena enn tipti gou sale,salt cake has a slightly salty taste
samoussa,samosa,samosa
samoussa baithka ke break mein badi bechaala,samosa vann buku dan rekre,samosas sell a lot during school breaks
samoussa aloo awroo masala se bharal rahela,samosa ranpli avek pomdeter ek masala,samosa is filled with potato and spices
samoussa garam garam servi kara jaa,servi samosa so so,samosas are served hot
vadha,gato pima,chilli cake mauritian delight
gato pima,gato pima,chilli cake mauritian delight
sab koi gato pima khaayke pasand karela,tou dimoun kontan manz gato pima,chilli cakes are liked by everyone as a snack
